Subgroup,DV,Trim,N,ATT,CI_lo,CI_hi,Sig
Appraisal (Q3),active_days_30d,"[0.1,0.9]",1685,0.3805,-0.0741,0.7234,
Appraisal (Q3),active_days_30d,"[0.15,0.85]",1413,0.1761,-0.2334,0.5959,
Appraisal (Q3),unique_ns_14d,"[0.05,0.95]",1875,0.0132,-0.0806,0.1196,
Appraisal (Q3),unique_ns_14d,"[0.1,0.9]",1685,-0.0225,-0.1146,0.0816,
Appraisal (Q3),unique_ns_14d,"[0.15,0.85]",1413,-0.0392,-0.1709,0.0793,
Appraisal (Q3),reverted_any_14d,"[0.05,0.95]",1875,-0.0193,-0.057,0.0168,
Appraisal (Q3),reverted_any_14d,"[0.1,0.9]",1685,-0.0216,-0.06,0.0164,
Appraisal (Q3),reverted_any_14d,"[0.15,0.85]",1413,-0.0385,-0.0782,-0.0015,*
Appraisal (Q3),2+_active_days_14d,"[0.05,0.95]",1875,0.0264,-0.0083,0.0668,
Appraisal (Q3),2+_active_days_14d,"[0.1,0.9]",1685,0.0255,-0.0087,0.0704,
Appraisal (Q3),2+_active_days_14d,"[0.15,0.85]",1413,0.0174,-0.0262,0.0619,
Normative (Q4),primary,"[0.05,0.95]",6251,0.0183,-0.0076,0.043,
Normative (Q4),primary,"[0.1,0.9]",5880,0.0116,-0.0155,0.0381,
Normative (Q4),primary,"[0.15,0.85]",4576,0.0242,-0.0053,0.0572,
Normative (Q4),n_edits_14d,"[0.05,0.95]",6251,2.3271,0.4375,4.7173,*
Normative (Q4),n_edits_14d,"[0.1,0.9]",5880,1.6821,0.1677,3.2209,*
Normative (Q4),n_edits_14d,"[0.15,0.85]",4576,1.0677,-1.406,2.525,
Normative (Q4),active_days_30d,"[0.05,0.95]",6251,0.1713,-0.0761,0.4079,
Normative (Q4),active_days_30d,"[0.1,0.9]",5880,0.1601,-0.1182,0.4304,
Normative (Q4),active_days_30d,"[0.15,0.85]",4576,0.106,-0.173,0.3831,
Normative (Q4),unique_ns_14d,"[0.05,0.95]",6251,0.0341,-0.0175,0.0888,
Normative (Q4),unique_ns_14d,"[0.1,0.9]",5880,0.0271,-0.0301,0.0741,
Normative (Q4),unique_ns_14d,"[0.15,0.85]",4576,0.0565,0.0008,0.1165,*
Normative (Q4),reverted_any_14d,"[0.05,0.95]",6251,0.011,-0.0116,0.0316,
Normative (Q4),reverted_any_14d,"[0.1,0.9]",5880,0.009,-0.0116,0.0307,
Normative (Q4),reverted_any_14d,"[0.15,0.85]",4576,0.0202,-0.001,0.0444,
Normative (Q4),2+_active_days_14d,"[0.05,0.95]",6251,0.0235,-0.006,0.045,
Normative (Q4),2+_active_days_14d,"[0.1,0.9]",5880,0.0204,-0.002,0.046,
Normative (Q4),2+_active_days_14d,"[0.15,0.85]",4576,0.03,0.0068,0.0569,*
Non-substantive,primary,"[0.05,0.95]",6966,0.0025,-0.0114,0.0185,
Non-substantive,primary,"[0.1,0.9]",6938,0.0012,-0.0125,0.017,
Non-substantive,primary,"[0.15,0.85]",6817,0.0016,-0.0143,0.0178,
Non-substantive,n_edits_14d,"[0.05,0.95]",6966,0.847,0.3444,1.3782,*
Non-substantive,n_edits_14d,"[0.1,0.9]",6938,0.8415,0.4749,1.3312,*
Non-substantive,n_edits_14d,"[0.15,0.85]",6817,0.8543,0.3517,1.3179,*
Non-substantive,active_days_30d,"[0.05,0.95]",6966,0.1026,0.0027,0.203,*
Non-substantive,active_days_30d,"[0.1,0.9]",6938,0.0973,-0.0094,0.1851,
Non-substantive,active_days_30d,"[0.15,0.85]",6817,0.0902,-0.003,0.1863,
Non-substantive,unique_ns_14d,"[0.05,0.95]",6966,0.0116,-0.0191,0.0377,
Non-substantive,unique_ns_14d,"[0.1,0.9]",6938,0.0081,-0.0175,0.0363,
Non-substantive,unique_ns_14d,"[0.15,0.85]",6817,0.0082,-0.0241,0.0375,
Non-substantive,reverted_any_14d,"[0.05,0.95]",6966,0.0007,-0.0111,0.0134,
Non-substantive,reverted_any_14d,"[0.1,0.9]",6938,-0.0006,-0.012,0.0132,
Non-substantive,reverted_any_14d,"[0.15,0.85]",6817,0.0003,-0.0138,0.0118,
Non-substantive,2+_active_days_14d,"[0.05,0.95]",6966,0.0069,-0.0046,0.0158,
Non-substantive,2+_active_days_14d,"[0.1,0.9]",6938,0.0062,-0.0037,0.0174,
Non-substantive,2+_active_days_14d,"[0.15,0.85]",6817,0.0057,-0.0055,0.017,
Own work (Q5=Y),primary,"[0.05,0.95]",8149,0.0325,0.0076,0.0557,*
Own work (Q5=Y),primary,"[0.1,0.9]",7990,0.031,0.0077,0.0495,*
Own work (Q5=Y),primary,"[0.15,0.85]",7206,0.0255,0.0011,0.0462,*
Own work (Q5=Y),n_edits_14d,"[0.05,0.95]",8149,1.6765,0.0297,3.7262,*
Own work (Q5=Y),n_edits_14d,"[0.1,0.9]",7990,2.1155,0.8762,3.2989,*
Own work (Q5=Y),n_edits_14d,"[0.15,0.85]",7206,1.8801,0.5805,2.8842,*
Own work (Q5=Y),active_days_30d,"[0.05,0.95]",8149,0.2298,0.0532,0.4164,*
Own work (Q5=Y),active_days_30d,"[0.1,0.9]",7990,0.2147,-0.0008,0.4056,
Own work (Q5=Y),active_days_30d,"[0.15,0.85]",7206,0.2113,0.0346,0.4159,*
Own work (Q5=Y),unique_ns_14d,"[0.05,0.95]",8149,0.0587,0.0105,0.1104,*
Own work (Q5=Y),unique_ns_14d,"[0.1,0.9]",7990,0.0573,0.0143,0.1002,*
Own work (Q5=Y),unique_ns_14d,"[0.15,0.85]",7206,0.0562,0.0112,0.1059,*
Own work (Q5=Y),reverted_any_14d,"[0.05,0.95]",8149,0.0004,-0.0206,0.0164,
Own work (Q5=Y),reverted_any_14d,"[0.1,0.9]",7990,0.0004,-0.0148,0.0179,
Own work (Q5=Y),reverted_any_14d,"[0.15,0.85]",7206,0.0002,-0.0172,0.0196,
Own work (Q5=Y),2+_active_days_14d,"[0.05,0.95]",8149,0.0246,0.0062,0.0452,*
Own work (Q5=Y),2+_active_days_14d,"[0.1,0.9]",7990,0.024,0.0038,0.0455,*
Own work (Q5=Y),2+_active_days_14d,"[0.15,0.85]",7206,0.0218,0.0017,0.0398,*
No own work (Q5=N),primary,"[0.05,0.95]",27128,0.0169,0.0077,0.0281,*
No own work (Q5=N),primary,"[0.1,0.9]",26937,0.0149,0.0049,0.0262,*
No own work (Q5=N),primary,"[0.15,0.85]",24798,0.0145,0.0018,0.0252,*
No own work (Q5=N),n_edits_14d,"[0.05,0.95]",27128,0.3025,-0.6303,1.4243,
No own work (Q5=N),n_edits_14d,"[0.1,0.9]",26937,-0.0333,-1.0765,0.7945,
No own work (Q5=N),n_edits_14d,"[0.15,0.85]",24798,0.3116,-0.4499,1.1853,
No own work (Q5=N),active_days_30d,"[0.05,0.95]",27128,0.1019,-0.0007,0.186,
No own work (Q5=N),active_days_30d,"[0.1,0.9]",26937,0.0688,-0.0244,0.1754,
No own work (Q5=N),active_days_30d,"[0.15,0.85]",24798,0.1213,0.0395,0.2049,*
No own work (Q5=N),unique_ns_14d,"[0.05,0.95]",27128,0.0251,0.0042,0.0474,*
No own work (Q5=N),unique_ns_14d,"[0.1,0.9]",26937,0.0202,-0.0002,0.0411,
No own work (Q5=N),unique_ns_14d,"[0.15,0.85]",24798,0.0246,0.0033,0.0467,*
No own work (Q5=N),reverted_any_14d,"[0.05,0.95]",27128,0.0081,-0.0005,0.017,
No own work (Q5=N),reverted_any_14d,"[0.1,0.9]",26937,0.0065,-0.0018,0.0152,
No own work (Q5=N),reverted_any_14d,"[0.15,0.85]",24798,0.0061,-0.0015,0.0144,
No own work (Q5=N),2+_active_days_14d,"[0.05,0.95]",27128,0.0151,0.0077,0.0232,*
No own work (Q5=N),2+_active_days_14d,"[0.1,0.9]",26937,0.013,0.0048,0.021,*
No own work (Q5=N),2+_active_days_14d,"[0.15,0.85]",24798,0.0148,0.0058,0.0232,*
