Threshold,Window,N,Ctrl_mean,Treat_mean,ATT,CI_lo,CI_hi,Sig
1+ edit,0-14d,16444,0.198,0.2246,0.0237,0.0087,0.0374,*
1+ edit,3-4 weeks,16444,0.087,0.1018,0.0122,0.0006,0.0225,*
1+ edit,1-2 months,16444,0.0929,0.1001,0.004,-0.0074,0.0154,
1+ edit,2-6 months,16444,0.0994,0.1038,0.0008,-0.0109,0.0126,
5+ edits,0-14d,16444,0.0954,0.1089,0.0111,-0.0015,0.0208,
5+ edits,3-4 weeks,16444,0.0425,0.0513,0.007,-0.0016,0.0148,
5+ edits,1-2 months,16444,0.0461,0.0528,0.0048,-0.0042,0.0123,
5+ edits,2-6 months,16444,0.0545,0.0587,0.002,-0.0073,0.0105,
