K,beta_D,beta_DxM,CI_lo,CI_hi,sig,net_referent
3,0.0246493590124294,-0.03192576876019924,-0.05779466734801911,-0.003353274214468351,True,-0.007276409747769837
5,0.02125090674960324,-0.030510778108472636,-0.05340371555922509,-0.003701389975847404,True,-0.009259871358869395
7,0.020318613745632,-0.02883131891514636,-0.05767162173367634,-0.00027087765158378713,True,-0.00851270516951436
10,0.01995236899555787,-0.02807032704686172,-0.05551676022410735,-0.001012968087336174,True,-0.008117958051303848
15,0.019687172717860912,-0.027777505151818465,-0.05416417123816932,-0.0016122048531488538,True,-0.008090332433957553
20,0.01942521026590338,-0.027364839750382657,-0.053107155396009444,-0.0006628064353967194,True,-0.007939629484479276
