K,beta_D,beta_DxM,CI_lo,CI_hi,sig,net
3,0.0246493590124294,-0.03192576876019924,-0.05618147841702468,-0.0071315200171485245,True,-0.007276409747769837
5,0.02125090674960324,-0.030510778108472636,-0.060685333236252546,-0.007155615518113711,True,-0.009259871358869395
7,0.020318613745632,-0.02883131891514636,-0.049003416424089785,-0.0025759109152433423,True,-0.00851270516951436
10,0.01995236899555787,-0.02807032704686172,-0.05039650841122089,0.0008134511199473382,False,-0.008117958051303848
15,0.019687172717860912,-0.027777505151818465,-0.04913733012420759,-0.0013852767155840705,True,-0.008090332433957553
20,0.01942521026590338,-0.027364839750382657,-0.0488527044116315,-0.002864575676406659,True,-0.007939629484479276
