K,beta_D,beta_DxM,CI_lo,CI_hi,sig,net
3,0.0001378269570280477,0.020014432670801118,0.002473267014184627,0.038842737910917614,True,0.020152259627829166
5,0.0017336643788477685,0.017314391466659192,-0.002593623166054705,0.03450138570643623,False,0.01904805584550696
7,0.0007891783100815453,0.018366243457779173,0.0017451440383874084,0.035687285797034465,True,0.01915542176786072
10,0.0014740082750002576,0.017860511099920418,-0.0014786032493082568,0.0346352977492207,False,0.019334519374920676
15,0.0018716782858870379,0.017161689847941617,-0.0037102228794087264,0.0360634184802134,False,0.019033368133828655
20,0.0012438984882183618,0.01787674868600698,-6.819642769758326e-05,0.039044242621286834,False,0.019120647174225344
