K,beta_D,beta_DxM,CI_lo,CI_hi,sig,net
3,0.01628698706449762,0.011379659051595116,-0.010608513743028925,0.03480290681636755,False,0.027666646116092736
5,0.013707862404281332,0.013629650734422296,-0.013995429741495763,0.03699398530443785,False,0.027337513138703626
7,0.012990179186105108,0.01459301854256485,-0.011689682687998422,0.039291684113805174,False,0.027583197728669958
10,0.012922350598752089,0.014611301660459711,-0.01055630387874821,0.04021405753638255,False,0.0275336522592118
15,0.012757668836220301,0.014603847510889154,-0.007119055923903863,0.04120358471533344,False,0.027361516347109455
20,0.012472161725445047,0.015051015487701951,-0.007993268662336425,0.041885532277775514,False,0.027523177213146996
