DV,ATT_low_RP,ATT_high_RP,delta,CI_lo,CI_hi,sig
1+_mainspace_edit_14d,0.017482057981166713,0.00910388355818441,0.008378174422982302,-0.015995635764873718,0.03138669377240898,False
n_mainspace_edits_14d,0.9993900509316246,-0.05875919870723978,1.0581492496388645,-0.9755637471375198,3.075030740876869,False
active_days_30d,0.1269159231715236,0.07496471542905768,0.05195120774246591,-0.15718875550634379,0.2639245306065047,False
unique_namespace_14d,0.03806055043685958,0.019373442116377208,0.018687108320482374,-0.0272990706309264,0.06253454007765775,False
reverted_any_14d,0.006687834681788445,0.005552638382670863,0.001135196299117582,-0.018176754670742774,0.020961211478442418,False
