var,raw,strat,label
q_normative,0.13586539274611176,0.02075094376357131,Q-type: Normative
q_own_work,0.06975200854416821,0.0010029311463748102,Q-type: Own Work
emb_pc0,0.28869083682391,0.02858876036132112,Embedding PC0
emb_pc1,0.1020041198283779,0.011244059845504487,Embedding PC1
emb_pc2,0.03007636678155665,0.002716648491122169,Embedding PC2
emb_pc3,0.017298208520334722,0.001950028342410004,Embedding PC3
emb_pc4,0.05858003722581413,0.0021976004149104997,Embedding PC4
emb_pc5,4.035467195016586e-05,0.003117965785865574,Embedding PC5
emb_pc6,0.04833332905253866,0.006839536426931596,Embedding PC6
emb_pc7,0.020888277313042953,0.002968420662563881,Embedding PC7
emb_pc8,0.04838090281768845,0.005120764816651305,Embedding PC8
emb_pc9,0.05775072648134557,0.0076171062967986085,Embedding PC9
emb_pc10,0.017816630051309082,0.0022285196535319516,Embedding PC10
emb_pc11,0.016117935968789052,0.0017280777936069574,Embedding PC11
emb_pc12,0.04947141313977898,0.013318741012202524,Embedding PC12
emb_pc13,0.017656145557002886,0.01019779984491476,Embedding PC13
emb_pc14,0.026195920343578608,0.0012798141101574912,Embedding PC14
emb_pc15,0.016354688123081423,0.009177396661426094,Embedding PC15
emb_pc16,0.021008963607584995,0.0006327963539500462,Embedding PC16
emb_pc17,0.014871328762622593,0.0038862904485084523,Embedding PC17
emb_pc18,0.021303841010747532,0.00043013196261724714,Embedding PC18
emb_pc19,0.02123792685925268,0.0013925143149761802,Embedding PC19
ym_2021-06,0.00709515945869519,0.00040776862796903124,YM: 2021-06
ym_2021-07,0.008282444114371599,0.006341311191254588,YM: 2021-07
ym_2021-08,0.01030378069056605,0.007956765732016239,YM: 2021-08
ym_2021-09,0.024003764614874322,0.008801575040794629,YM: 2021-09
ym_2021-10,0.03342865097356531,0.01700664064788248,YM: 2021-10
ym_2021-11,0.023584746332686566,0.007543116797013831,YM: 2021-11
ym_2021-12,0.0014822250535513704,0.001870626201473834,YM: 2021-12
ym_2022-01,0.01600879073773132,0.005460714402334547,YM: 2022-01
ym_2022-02,0.028490796880086558,0.009893660669802311,YM: 2022-02
ym_2022-03,0.04415060013889981,0.017992606996027397,YM: 2022-03
ym_2022-04,0.02444399040564262,0.007918398873332457,YM: 2022-04
ym_2022-05,0.0029736295267830887,0.0006947145841445261,YM: 2022-05
ym_2022-06,0.017302802557220828,0.0001493717047064725,YM: 2022-06
ym_2022-07,0.015620793989101272,0.000938205629537357,YM: 2022-07
ym_2022-08,0.013501709259869947,0.002556397913786172,YM: 2022-08
ym_2022-09,0.000756204419234983,0.00369293376729868,YM: 2022-09
ym_2022-10,0.0026973264096068657,0.003285562976880101,YM: 2022-10
ym_2022-11,0.025498859412992073,0.009142161019658063,YM: 2022-11
ym_2022-12,0.001435805589517895,0.004259597452535814,YM: 2022-12
ym_2023-01,0.00664204486682622,0.0024852381096491095,YM: 2023-01
ym_2023-02,0.004409634782687162,0.003820163619630058,YM: 2023-02
ym_2023-03,0.0039709233288648255,0.0011188470514459001,YM: 2023-03
ym_2023-04,0.004885352926322765,0.0008130105574896473,YM: 2023-04
ym_2023-05,0.014170030102515142,0.003425561815619796,YM: 2023-05
ym_2023-06,0.013348361285088163,0.0010257132965519286,YM: 2023-06
ym_2023-07,0.009574290067394055,0.005072343610357749,YM: 2023-07
ym_2023-08,0.0090629669008514,0.004389188309280549,YM: 2023-08
ym_2023-09,0.0058875934820200836,0.004372559544411509,YM: 2023-09
ym_2023-10,0.005185490013939337,0.004936260109082226,YM: 2023-10
ym_2023-11,0.012288410294195242,0.002315161609886029,YM: 2023-11
ym_2023-12,0.0053649084186395985,0.0025248296914880176,YM: 2023-12
ym_2024-01,0.026320764393347417,0.002329903680351552,YM: 2024-01
ym_2024-02,0.029294369658419347,0.006419298135953891,YM: 2024-02
ym_2024-03,0.00031626613423038305,0.00359691771438598,YM: 2024-03
ym_2024-04,0.01084344064536791,0.0020805523133713174,YM: 2024-04
ym_2024-05,0.020654616733159437,0.002690414409756768,YM: 2024-05
ym_2024-06,0.006699099424984904,0.003458229643431191,YM: 2024-06
ym_2024-07,0.051544426083609415,0.009432633608593661,YM: 2024-07
ym_2024-08,0.00599230180220426,0.000497863602024889,YM: 2024-08
ym_2024-09,0.024768141302609983,0.008051101543132946,YM: 2024-09
ym_2024-10,0.0007383051349443122,0.0018415691845769578,YM: 2024-10
ym_2024-11,0.03721997142380474,0.00860702987459367,YM: 2024-11
ym_2024-12,0.030280895605720587,0.004924232225801624,YM: 2024-12
ym_2025-01,0.013644623832901699,0.0038543214893699287,YM: 2025-01
ym_2025-02,0.02781457065036549,0.007853451876201725,YM: 2025-02
ym_2025-03,0.0004833618673659544,0.0030708137329017384,YM: 2025-03
ym_2025-04,0.006228168840920284,0.0044243580503457,YM: 2025-04
ym_2025-05,0.012691107505335987,0.00633995366090336,YM: 2025-05
ym_2025-06,0.01764671669792045,0.0034344811067342873,YM: 2025-06
ym_2025-07,0.0067249822711299145,0.0039058897818827765,YM: 2025-07
ym_2025-08,0.03636274036758133,0.00927875055879398,YM: 2025-08
ym_2025-09,0.02452484728932228,0.0020900998618625195,YM: 2025-09
ym_2025-10,0.021570827769665405,0.0033913792080584896,YM: 2025-10
ym_2025-11,0.0645779817838572,0.01637352107891888,YM: 2025-11
ym_2025-12,0.06851689073304597,0.0193127267989865,YM: 2025-12
ym_2026-01,0.050447815690068246,0.01845337192665537,YM: 2026-01
ym_2026-02,0.033052300135460226,0.011818788824541696,YM: 2026-02
ym_2026-03,0.11431092445444442,0.016676807584232036,YM: 2026-03
ym_2026-04,0.09529427342320819,0.013511700132579912,YM: 2026-04
q_has_article_context,0.12750235369996862,0.013317381550541242,Q from article context
