Strategy,1+_mainspace_edit_14d,n_mainspace_edits_14d,active_days_30d,unique_namespace_14d,reverted_any_14d,2+_active_days_14d
Random draw (main),0.016505247812403104,0.5321668135478673,0.08487314144280274,0.02493300938533347,0.005355861309093116,0.014633918814010832
Median lag,0.018421219499091167,0.4591205776730555,0.08272922409260987,0.029656167877048736,0.008023341383065699,0.013277650918444189
25th pctl lag,-0.007891305842221679,0.18633894258108952,-0.0031191423931921244,-0.025585474993086835,-0.007914853205716386,0.0017160280941456464
75th pctl lag,0.0366616430132966,0.7321454587083404,0.13875804551535798,0.06908537280666273,0.018903673061659198,0.021168778665929158
Zero lag (immediate),-0.0776270874045053,-0.20746708771488576,-0.1729629892484806,-0.17140739333919688,-0.04891424059322814,-0.017676173855734206
Multi-draw avg,0.01734911152066573,0.594024623771626,0.09379855264944624,0.027081382268348025,0.006569285440169679,0.013443411345685823
