Strategy,ATT,CI_lo,CI_hi,Sig
Random draw (main),0.016505247812403104,0.0055290197243339995,0.02748124689871054,*
Median lag,0.018421219499091167,0.007541853789828025,0.02971994791518338,*
25th pctl lag,-0.007891305842221679,-0.018951054755993672,0.003946762192270847,
75th pctl lag,0.0366616430132966,0.027146589830789266,0.04641758748580878,*
Zero lag (immediate),-0.0776270874045053,-0.08992470283428064,-0.06693046587514999,*
Multi-draw avg,0.01734911152066573,0.008091703500356949,0.026966008670174128,*
