Outcome,Naive,ATT,DR,CI_lo,CI_hi,Cohen_d,d_CI_lo,d_CI_hi,Sig,variant
1+_mainspace_edit_14d,0.0359951555929206,0.016505247812403104,0.014235381935247872,0.0055290197243339995,0.02748124689871054,0.04232367863983038,0.014177821300577308,0.07046894875997115,*,primary
n_mainspace_edits_14d,1.2401944530146016,0.5321668135478673,0.35145750907227263,-0.34259202213904333,1.3304273937194213,0.019305750733195286,-0.012428426602747516,0.04826475266378388,,supplementary
active_days_30d,0.2450912620486767,0.08487314144280274,0.08475738093877644,-0.004612407483370876,0.18009623487640591,0.026551558623882636,-0.0014429371366498653,0.0563409773336124,,supplementary
unique_namespace_14d,0.062072767824927266,0.02493300938533347,0.02322341593338431,0.004831280024949947,0.044306102277361564,0.03338211217469488,0.006468466331028286,0.059320206934843966,*,supplementary
reverted_any_14d,0.010791320350084024,0.005355861309093116,0.004685830323869809,-0.0021581745388772507,0.012690665740570435,0.018051096931736857,-0.007273791375205762,0.042771913645780764,,supplementary
2+_active_days_14d,0.027085962122922372,0.014633918814010832,0.012711841080012,0.006505660529879972,0.022258839030306548,0.048434047636324376,0.02153185869175949,0.07367033284966437,*,supplementary
